Clinical Annotation ID	Date (YYYY-MM-DD)	Type	Comment
1451356180	2021-03-24	Update	CA score added as part of scoring system release. LOE may have automatically changed based on new score but may be subject to further changes upon curator review.
1451151506	2020-05-29	Create	Created
1451151506	2021-03-24	Update	CA score added as part of scoring system release. LOE may have automatically changed based on new score but may be subject to further changes upon curator review.
1451356356	2021-03-16	Create	Created
1451356356	2021-03-24	Update	CA score added as part of scoring system release. LOE may have automatically changed based on new score but may be subject to further changes upon curator review.
1451356386	2021-03-16	Create	Created
1451356386	2021-03-24	Update	CA score added as part of scoring system release. LOE may have automatically changed based on new score but may be subject to further changes upon curator review.
1451225320	2020-07-10	Create	Created
1451225320	2021-01-29	Update	Minor edits to phenotype descriptions
1451225320	2021-03-24	Update	CA score added as part of scoring system release. LOE may have automatically changed based on new score but may be subject to further changes upon curator review.
1451356380	2021-03-16	Create	Created
1451356380	2021-03-24	Update	CA score added as part of scoring system release. LOE may have automatically changed based on new score but may be subject to further changes upon curator review.
1451240740	2020-08-06	Create	Created
1451240740	2021-03-24	Update	CA score added as part of scoring system release. LOE may have automatically changed based on new score but may be subject to further changes upon curator review.
1451240746	2020-08-06	Create	Created
1451240746	2021-03-24	Update	CA score added as part of scoring system release. LOE may have automatically changed based on new score but may be subject to further changes upon curator review.
1450815092	2019-09-17	Create	Created
1450815092	2021-03-24	Update	CA score added as part of scoring system release. LOE may have automatically changed based on new score but may be subject to further changes upon curator review.
1451240880	2020-08-06	Create	Created
1451240880	2021-03-24	Update	CA score added as part of scoring system release. LOE may have automatically changed based on new score but may be subject to further changes upon curator review.
1451351160	2021-03-11	Create	Created
1451351160	2021-03-24	Update	CA score added as part of scoring system release. LOE may have automatically changed based on new score but may be subject to further changes upon curator review.
1451277440	2020-10-13	Note	This is to create single drug annotations that were previously part of drug class clinicalAnnotation 655385674.
1451277440	2020-10-13	Create	Created
1451277440	2021-03-24	Update	CA score added as part of scoring system release. LOE may have automatically changed based on new score but may be subject to further changes upon curator review.
1451244680	2020-08-12	Create	Created
1451244680	2021-03-24	Update	CA score added as part of scoring system release. LOE may have automatically changed based on new score but may be subject to further changes upon curator review.
1451351240	2021-03-11	Create	Created
1451351240	2021-03-24	Update	CA score added as part of scoring system release. LOE may have automatically changed based on new score but may be subject to further changes upon curator review.
1451121880	2020-04-28	Create	Created
1451121880	2021-03-24	Update	CA score added as part of scoring system release. LOE may have automatically changed based on new score but may be subject to further changes upon curator review.
1451351260	2021-03-11	Create	Created
1451351260	2021-03-24	Update	CA score added as part of scoring system release. LOE may have automatically changed based on new score but may be subject to further changes upon curator review.
1451350801	2021-03-11	Create	Created
1451350801	2021-03-24	Update	CA score added as part of scoring system release. LOE may have automatically changed based on new score but may be subject to further changes upon curator review.
1451350944	2021-03-11	Create	Created
1451350944	2021-03-24	Update	CA score added as part of scoring system release. LOE may have automatically changed based on new score but may be subject to further changes upon curator review.
1451325840	2021-02-04	Create	Created
1451325840	2021-03-24	Update	CA score added as part of scoring system release. LOE may have automatically changed based on new score but may be subject to further changes upon curator review.
1450375701	2019-04-03	Create	Created
1450375701	2021-03-24	Update	CA score added as part of scoring system release. LOE may have automatically changed based on new score but may be subject to further changes upon curator review.
1451357200	2021-03-17	Create	Created
1451357200	2021-03-24	Update	CA score added as part of scoring system release. LOE may have automatically changed based on new score but may be subject to further changes upon curator review.
1451357200	2022-02-10	Update	added guideline as evidence
1451244720	2020-08-12	Create	Created
1451244720	2021-01-30	Update	updated text to reflect "no recommendation" by DPWG
1451244720	2021-03-24	Update	CA score added as part of scoring system release. LOE may have automatically changed based on new score but may be subject to further changes upon curator review.
1451244720	2022-02-10	Update	added guideline as evidence
1450810357	2019-08-13	Create	Created
1450810357	2021-03-24	Update	CA score added as part of scoring system release. LOE may have automatically changed based on new score but may be subject to further changes upon curator review.
1450810357	2021-12-03	Update	Added toxicity phenotype category. Minor edits to phenotype descriptions.
1451244700	2020-08-12	Create	Created
1451244700	2021-01-30	Update	update text to include statement about DPWG
1451244700	2021-03-24	Update	CA score added as part of scoring system release. LOE may have automatically changed based on new score but may be subject to further changes upon curator review.
1451244700	2022-02-10	Update	added guideline as evidence
1451241320	2020-08-07	Create	Created
1451241320	2021-03-24	Update	CA score added as part of scoring system release. LOE may have automatically changed based on new score but may be subject to further changes upon curator review.
1450375047	2019-04-01	Create	Created
1450375047	2021-03-24	Update	CA score added as part of scoring system release. LOE may have automatically changed based on new score but may be subject to further changes upon curator review.
1451357763	2021-03-17	Create	Created
1451357763	2021-03-24	Update	CA score added as part of scoring system release. LOE may have automatically changed based on new score but may be subject to further changes upon curator review.
1451357759	2021-03-17	Create	Created
1451357759	2021-03-24	Update	CA score added as part of scoring system release. LOE may have automatically changed based on new score but may be subject to further changes upon curator review.
1451357783	2021-03-17	Create	Created
1451357783	2021-03-24	Update	CA score added as part of scoring system release. LOE may have automatically changed based on new score but may be subject to further changes upon curator review.
1451357790	2021-03-17	Create	Created
1451357790	2021-03-24	Update	CA score added as part of scoring system release. LOE may have automatically changed based on new score but may be subject to further changes upon curator review.
1451238460	2020-08-04	Create	Created
1451238460	2021-01-29	Update	Edited phenotype descriptions to include CPIC 'no recommendation'.
1451238460	2021-03-24	Update	CA score added as part of scoring system release. LOE may have automatically changed based on new score but may be subject to further changes upon curator review.
1451123780	2020-04-30	Note	Replaces annotation 982030788 which was on retired rs number.
1451123780	2020-04-30	Create	Created
1451123780	2021-03-24	Update	CA score added as part of scoring system release. LOE may have automatically changed based on new score but may be subject to further changes upon curator review.
1448256712	2016-08-15	Create	
1448256712	2018-11-05	Update	Updated OMB race to appropriate biogeographical group
1448256712	2021-03-24	Update	CA score added as part of scoring system release. LOE may have automatically changed based on new score but may be subject to further changes upon curator review.
1451328325	2021-02-08	Create	Created
1451328325	2021-03-24	Update	CA score added as part of scoring system release. LOE may have automatically changed based on new score but may be subject to further changes upon curator review.
1451344820	2021-03-04	Create	Created
1451344820	2021-03-24	Update	CA score added as part of scoring system release. LOE may have automatically changed based on new score but may be subject to further changes upon curator review.
1451353040	2021-03-13	Create	Created
1451353040	2021-03-24	Update	CA score added as part of scoring system release. LOE may have automatically changed based on new score but may be subject to further changes upon curator review.
1451238365	2020-08-04	Create	Created
1451238365	2021-03-24	Update	CA score added as part of scoring system release. LOE may have automatically changed based on new score but may be subject to further changes upon curator review.
1451328500	2021-02-08	Create	Created
1451328500	2021-03-24	Update	CA score added as part of scoring system release. LOE may have automatically changed based on new score but may be subject to further changes upon curator review.
1451237983	2020-08-03	Create	Created
1451237983	2021-03-24	Update	CA score added as part of scoring system release. LOE may have automatically changed based on new score but may be subject to further changes upon curator review.
1451238020	2020-08-03	Create	Created
1451238020	2021-03-24	Update	CA score added as part of scoring system release. LOE may have automatically changed based on new score but may be subject to further changes upon curator review.
1451238040	2020-08-03	Create	Created
1451238040	2021-03-24	Update	CA score added as part of scoring system release. LOE may have automatically changed based on new score but may be subject to further changes upon curator review.
1451336020	2021-02-18	Create	Created
1451336020	2021-03-24	Update	CA score added as part of scoring system release. LOE may have automatically changed based on new score but may be subject to further changes upon curator review.
1451336026	2021-02-18	Create	Created
1451336026	2021-03-24	Update	CA score added as part of scoring system release. LOE may have automatically changed based on new score but may be subject to further changes upon curator review.
1451336041	2021-02-18	Create	Created
1451336041	2021-03-24	Update	CA score added as part of scoring system release. LOE may have automatically changed based on new score but may be subject to further changes upon curator review.
1451336047	2021-02-18	Create	Created
1451336047	2021-03-24	Update	CA score added as part of scoring system release. LOE may have automatically changed based on new score but may be subject to further changes upon curator review.
1451336060	2021-02-18	Create	Created
1451336060	2021-03-24	Update	CA score added as part of scoring system release. LOE may have automatically changed based on new score but may be subject to further changes upon curator review.
1451245960	2020-08-14	Create	Created
1451245960	2021-03-24	Update	CA score added as part of scoring system release. LOE may have automatically changed based on new score but may be subject to further changes upon curator review.
1451336074	2021-02-18	Create	Created
1451336074	2021-03-24	Update	CA score added as part of scoring system release. LOE may have automatically changed based on new score but may be subject to further changes upon curator review.
1451336100	2021-02-18	Create	Created
1451336100	2021-03-24	Update	CA score added as part of scoring system release. LOE may have automatically changed based on new score but may be subject to further changes upon curator review.
1451246040	2020-08-14	Create	Created
1451246040	2021-03-24	Update	CA score added as part of scoring system release. LOE may have automatically changed based on new score but may be subject to further changes upon curator review.
1450377208	2019-04-08	Create	Created
1450377208	2021-03-24	Update	CA score added as part of scoring system release. LOE may have automatically changed based on new score but may be subject to further changes upon curator review.
1451139080	2020-05-14	Create	Created
1451139080	2021-03-24	Update	CA score added as part of scoring system release. LOE may have automatically changed based on new score but may be subject to further changes upon curator review.
1451245600	2020-08-13	Create	Created
1451245600	2021-03-24	Update	CA score added as part of scoring system release. LOE may have automatically changed based on new score but may be subject to further changes upon curator review.
1451245620	2020-08-13	Create	Created
1451245620	2021-03-24	Update	CA score added as part of scoring system release. LOE may have automatically changed based on new score but may be subject to further changes upon curator review.
1451352140	2021-03-12	Create	Created
1451352140	2021-03-24	Update	CA score added as part of scoring system release. LOE may have automatically changed based on new score but may be subject to further changes upon curator review.
1451352146	2021-03-12	Create	Created
1451352146	2021-03-24	Update	CA score added as part of scoring system release. LOE may have automatically changed based on new score but may be subject to further changes upon curator review.
1451253880	2020-08-23	Create	Created
1451253880	2021-03-24	Update	CA score added as part of scoring system release. LOE may have automatically changed based on new score but may be subject to further changes upon curator review.
1451163868	2020-06-16	Update	This replaces annotation 1184747665 on retired rs number rs8175347.
1451163868	2020-06-16	Create	Created
1451163868	2021-03-24	Update	CA score added as part of scoring system release. LOE may have automatically changed based on new score but may be subject to further changes upon curator review.
1451228945	2020-07-17	Create	Created
1451228945	2021-03-24	Update	CA score added as part of scoring system release. LOE may have automatically changed based on new score but may be subject to further changes upon curator review.
1451228940	2020-07-17	Create	Created
1451228940	2021-03-24	Update	CA score added as part of scoring system release. LOE may have automatically changed based on new score but may be subject to further changes upon curator review.
1450934061	2019-12-06	Create	Created
1450934061	2021-03-24	Update	CA score added as part of scoring system release. LOE may have automatically changed based on new score but may be subject to further changes upon curator review.
1450934169	2019-12-06	Create	Created
1450934169	2021-03-24	Update	CA score added as part of scoring system release. LOE may have automatically changed based on new score but may be subject to further changes upon curator review.
1450934181	2019-12-06	Create	Created
1450934181	2021-03-24	Update	CA score added as part of scoring system release. LOE may have automatically changed based on new score but may be subject to further changes upon curator review.
1451359886	2021-03-18	Create	Created
1451359886	2021-03-24	Update	CA score added as part of scoring system release. LOE may have automatically changed based on new score but may be subject to further changes upon curator review.
1451351302	2021-03-11	Create	Created
1451351302	2021-03-24	Update	CA score added as part of scoring system release. LOE may have automatically changed based on new score but may be subject to further changes upon curator review.
1451244869	2020-08-12	Create	Created
1451244869	2021-01-29	Update	Edited phenotype descriptions to include CPIC 'no recommendation'.
1451244869	2021-03-24	Update	CA score added as part of scoring system release. LOE may have automatically changed based on new score but may be subject to further changes upon curator review.
1451244900	2020-08-12	Create	Created
1451244900	2021-01-29	Update	Edited phenotype descriptions to include CPIC 'no recommendation'.
1451244900	2021-03-24	Update	CA score added as part of scoring system release. LOE may have automatically changed based on new score but may be subject to further changes upon curator review.
1451359601	2021-03-18	Create	Created
1451359601	2021-03-24	Update	CA score added as part of scoring system release. LOE may have automatically changed based on new score but may be subject to further changes upon curator review.
1451244980	2020-08-12	Create	Created
1451244980	2021-01-29	Update	Edited phenotype descriptions to include CPIC 'no recommendation'.
1451244980	2021-03-24	Update	CA score added as part of scoring system release. LOE may have automatically changed based on new score but may be subject to further changes upon curator review.
1451245004	2020-08-12	Create	Created
1451245004	2021-01-29	Update	Edited phenotype descriptions to include CPIC 'no recommendation'.
1451245004	2021-03-11	Update	Added PMID 30211780 to evidence and marked as conflicting
1451245004	2021-03-24	Update	CA score added as part of scoring system release. LOE may have automatically changed based on new score but may be subject to further changes upon curator review.
981204995	2017-01-27	Update	
981204995	2021-03-24	Update	CA score added as part of scoring system release. LOE may have automatically changed based on new score but may be subject to further changes upon curator review.
1451121940	2020-04-28	Create	Created
1451121940	2021-03-24	Update	CA score added as part of scoring system release. LOE may have automatically changed based on new score but may be subject to further changes upon curator review.
1451245081	2020-08-12	Create	Created
1451245081	2021-01-29	Update	Edited phenotype descriptions to include CPIC 'no recommendation'.
1451245081	2021-03-24	Update	CA score added as part of scoring system release. LOE may have automatically changed based on new score but may be subject to further changes upon curator review.
1451245081	2021-04-09	Update	Added PMID 31806881 to evidence and tagged as conflicting
1451244920	2020-08-12	Create	Created
1451244920	2021-01-29	Update	Edited phenotype descriptions to include CPIC 'no recommendation'.
1451244920	2021-03-24	Update	CA score added as part of scoring system release. LOE may have automatically changed based on new score but may be subject to further changes upon curator review.
1451244920	2021-05-19	Update	Added PMID 33977649 to evidence and added sentence about conflicting evidence
1451245764	2020-08-14	Create	Created
1451245764	2021-03-24	Update	CA score added as part of scoring system release. LOE may have automatically changed based on new score but may be subject to further changes upon curator review.
1451245764	2021-05-24	Update	Moved *2 and *3 alleles to new CA
1451245800	2020-08-14	Create	Created
1451245800	2021-03-24	Update	CA score added as part of scoring system release. LOE may have automatically changed based on new score but may be subject to further changes upon curator review.
1451245800	2021-05-24	Update	Moved *2 and *3 alleles to 1A CA
1451254580	2020-08-24	Create	Created
1451254580	2021-03-24	Update	CA score added as part of scoring system release. LOE may have automatically changed based on new score but may be subject to further changes upon curator review.
1451254580	2021-04-01	Update	Removed duplicate VA from PMID 19901119
1451254580	2021-06-24	Update	Added PMID 21387541 to evidence
1451245925	2020-08-14	Create	Created
1451245925	2021-03-24	Update	CA score added as part of scoring system release. LOE may have automatically changed based on new score but may be subject to further changes upon curator review.
1451245925	2021-10-27	Update	Added PMIDs 15687340 and 32986886 to evidence
1451237820	2020-08-03	Create	Created
1451237820	2021-03-24	Update	CA score added as part of scoring system release. LOE may have automatically changed based on new score but may be subject to further changes upon curator review.
1451237820	2022-03-23	Update	Change CYP3A4 named allele *1G to *36
981237878	2018-11-05	Update	Updated OMB race to appropriate biogeographical group
981237878	2021-03-24	Update	CA score added as part of scoring system release. LOE may have automatically changed based on new score but may be subject to further changes upon curator review.
981238234	2021-03-24	Update	CA score added as part of scoring system release. LOE may have automatically changed based on new score but may be subject to further changes upon curator review.
981239568	2021-03-24	Update	CA score added as part of scoring system release. LOE may have automatically changed based on new score but may be subject to further changes upon curator review.
1449718265	2018-09-14	Create	
1449718265	2021-03-24	Update	CA score added as part of scoring system release. LOE may have automatically changed based on new score but may be subject to further changes upon curator review.
1451245040	2020-08-12	Create	Created
1451245040	2021-01-29	Update	Edited phenotype descriptions to include CPIC 'no recommendation'.
1451245040	2021-03-24	Update	CA score added as part of scoring system release. LOE may have automatically changed based on new score but may be subject to further changes upon curator review.
1451289620	2020-11-05	Create	Created
1451289620	2021-03-24	Update	CA score added as part of scoring system release. LOE may have automatically changed based on new score but may be subject to further changes upon curator review.
1451257000	2020-08-27	Create	Created
1451257000	2021-03-24	Update	CA score added as part of scoring system release. LOE may have automatically changed based on new score but may be subject to further changes upon curator review.
1451330460	2021-02-10	Create	Created
1451330460	2021-03-24	Update	CA score added as part of scoring system release. LOE may have automatically changed based on new score but may be subject to further changes upon curator review.
1451354640	2021-03-15	Create	Created
1451354640	2021-03-24	Update	CA score added as part of scoring system release. LOE may have automatically changed based on new score but may be subject to further changes upon curator review.
1449716213	2018-08-15	Create	
1449716213	2021-03-24	Update	CA score added as part of scoring system release. LOE may have automatically changed based on new score but may be subject to further changes upon curator review.
1451354647	2021-03-15	Create	Created
1451354647	2021-03-24	Update	CA score added as part of scoring system release. LOE may have automatically changed based on new score but may be subject to further changes upon curator review.
1451354700	2021-03-15	Create	Created
1451354700	2021-03-24	Update	CA score added as part of scoring system release. LOE may have automatically changed based on new score but may be subject to further changes upon curator review.
1450813849	2019-09-10	Create	Created
1450813849	2021-03-24	Update	CA score added as part of scoring system release. LOE may have automatically changed based on new score but may be subject to further changes upon curator review.
1451150004	2020-05-28	Create	Created
1451150004	2021-03-24	Update	CA score added as part of scoring system release. LOE may have automatically changed based on new score but may be subject to further changes upon curator review.
1451338440	2021-02-23	Create	Created
1451338440	2021-03-24	Update	CA score added as part of scoring system release. LOE may have automatically changed based on new score but may be subject to further changes upon curator review.
1451150066	2020-05-28	Create	Created
1451150066	2021-03-24	Update	CA score added as part of scoring system release. LOE may have automatically changed based on new score but may be subject to further changes upon curator review.
1451354560	2021-03-15	Create	Created
1451354560	2021-03-24	Update	CA score added as part of scoring system release. LOE may have automatically changed based on new score but may be subject to further changes upon curator review.
1451346385	2021-03-05	Create	Created
1451346385	2021-03-24	Update	CA score added as part of scoring system release. LOE may have automatically changed based on new score but may be subject to further changes upon curator review.
981201387	2017-05-05	Update	Added PMID 28422153 but no change in LOE because the study had no p-value
981201387	2018-11-05	Update	Updated OMB race to appropriate biogeographical group
981201387	2021-03-24	Update	CA score added as part of scoring system release. LOE may have automatically changed based on new score but may be subject to further changes upon curator review.
981201387	2021-09-27	Update	Added PMID 22074251 to evidence. Updated phenotype descriptions.
1451329580	2021-02-09	Create	Created
1451329580	2021-03-24	Update	CA score added as part of scoring system release. LOE may have automatically changed based on new score but may be subject to further changes upon curator review.
827836551	2021-03-24	Update	CA score added as part of scoring system release. LOE may have automatically changed based on new score but may be subject to further changes upon curator review.
827836551	2021-04-08	Update	Added PMID 33812699 to evidence
1449576301	2018-07-09	Create	
1449576301	2021-03-24	Update	CA score added as part of scoring system release. LOE may have automatically changed based on new score but may be subject to further changes upon curator review.
1451337885	2021-02-22	Create	Created
1451337885	2021-03-24	Update	CA score added as part of scoring system release. LOE may have automatically changed based on new score but may be subject to further changes upon curator review.
1450936284	2019-12-18	Create	Created
1450936284	2021-03-24	Update	CA score added as part of scoring system release. LOE may have automatically changed based on new score but may be subject to further changes upon curator review.
1450935813	2019-12-17	Create	Created
1450935813	2021-03-24	Update	CA score added as part of scoring system release. LOE may have automatically changed based on new score but may be subject to further changes upon curator review.
1450935826	2019-12-17	Create	Created
1450935826	2021-03-24	Update	CA score added as part of scoring system release. LOE may have automatically changed based on new score but may be subject to further changes upon curator review.
1451223506	2020-07-08	Create	Created
1451223506	2021-03-24	Update	CA score added as part of scoring system release. LOE may have automatically changed based on new score but may be subject to further changes upon curator review.
1451223506	2021-09-27	Update	Added PMID 22074251 to evidence. Updated phenotype descriptions.
1451223506	2021-09-28	Update	Added PMID 23198157 to evidence.
1451223506	2021-09-28	Update	Added PMID 24386571 to evidence
1451223506	2022-02-25	Update	added DPWG text.
1451337408	2021-02-22	Create	Created
1451337408	2021-03-24	Update	CA score added as part of scoring system release. LOE may have automatically changed based on new score but may be subject to further changes upon curator review.
655384558	2021-03-24	Update	CA score added as part of scoring system release. LOE may have automatically changed based on new score but may be subject to further changes upon curator review.
827847725	2018-11-05	Update	Updated OMB race to appropriate biogeographical group
827847725	2021-03-24	Update	CA score added as part of scoring system release. LOE may have automatically changed based on new score but may be subject to further changes upon curator review.
827847759	2018-11-05	Update	Updated OMB race to appropriate biogeographical group
827847759	2021-03-24	Update	CA score added as part of scoring system release. LOE may have automatically changed based on new score but may be subject to further changes upon curator review.
827848740	2021-03-24	Update	CA score added as part of scoring system release. LOE may have automatically changed based on new score but may be subject to further changes upon curator review.
827848751	2018-11-05	Update	Updated OMB race to appropriate biogeographical group
827848751	2021-03-24	Update	CA score added as part of scoring system release. LOE may have automatically changed based on new score but may be subject to further changes upon curator review.
981201549	2017-12-20	Update	updating ClinVar submission data
981201549	2020-10-27	Update	Adjusted for new scoring
981201549	2021-03-24	Update	CA score added as part of scoring system release. LOE may have automatically changed based on new score but may be subject to further changes upon curator review.
827848762	2021-03-24	Update	CA score added as part of scoring system release. LOE may have automatically changed based on new score but may be subject to further changes upon curator review.
827848365	2018-05-14	Update	Added PMID 29683944
827848365	2021-03-24	Update	CA score added as part of scoring system release. LOE may have automatically changed based on new score but may be subject to further changes upon curator review.
827848365	2021-06-24	Update	Added PMID 19031955 to evidence
827848365	2021-06-24	Update	Added PMID 21534867 to evidence. Awaiting curator check before approval.
827848365	2021-06-25	Update	Added VAs from studies in adult cancer patients, marked conflicting evidence.
827848365	2021-07-27	Note	cross checked
827848365	2021-07-27	Update	Consolidated multiple VAs from same publication
827848365	2021-09-27	Update	Added PMID 22074251 to evidence.
827848365	2021-10-13	Update	Added PMID 25177243 to evidence.
827848365	2021-10-18	Update	Added PMID 27104192 to evidence
827848365	2021-10-18	Update	Added PMID 27781293 to evidence. Updated phenotype tags
827848365	2021-10-19	Update	Added PMID 29911750 to evidence
827848365	2021-10-19	Update	Added PMID 30684021 to evidence.
827848365	2021-10-21	Update	Added PMID 32612964 to evidence
827848365	2021-10-21	Update	Added PMID 32695297 to evidence
827848365	2022-01-04	Update	Added PMID 34346513 to evidence.
827848365	2022-01-04	Update	Added PMID 33841551 to evidence.
